"N","Time","avg(X)","avg(Y)","avg(Z)","avg(id)","avg(melt_CaO)","avg(melt_FeO)","avg(melt_MgO)","avg(melt_SiO2)","avg(melt_presence)","avg(peridotite)","avg(porosity)","avg(residue_CaO)","avg(residue_FeO)","avg(residue_MgO)","avg(residue_SiO2)","avg(vtkOriginalPointIds)","max(X)","max(Y)","max(Z)","max(id)","max(melt_CaO)","max(melt_FeO)","max(melt_MgO)","max(melt_SiO2)","max(melt_presence)","max(peridotite)","max(porosity)","max(residue_CaO)","max(residue_FeO)","max(residue_MgO)","max(residue_SiO2)","max(vtkOriginalPointIds)","med(X)","med(Y)","med(Z)","med(id)","med(melt_CaO)","med(melt_FeO)","med(melt_MgO)","med(melt_SiO2)","med(melt_presence)","med(peridotite)","med(porosity)","med(residue_CaO)","med(residue_FeO)","med(residue_MgO)","med(residue_SiO2)","med(vtkOriginalPointIds)","min(X)","min(Y)","min(Z)","min(id)","min(melt_CaO)","min(melt_FeO)","min(melt_MgO)","min(melt_SiO2)","min(melt_presence)","min(peridotite)","min(porosity)","min(residue_CaO)","min(residue_FeO)","min(residue_MgO)","min(residue_SiO2)","min(vtkOriginalPointIds)","q1(X)","q1(Y)","q1(Z)","q1(id)","q1(melt_CaO)","q1(melt_FeO)","q1(melt_MgO)","q1(melt_SiO2)","q1(melt_presence)","q1(peridotite)","q1(porosity)","q1(residue_CaO)","q1(residue_FeO)","q1(residue_MgO)","q1(residue_SiO2)","q1(vtkOriginalPointIds)","q3(X)","q3(Y)","q3(Z)","q3(id)","q3(melt_CaO)","q3(melt_FeO)","q3(melt_MgO)","q3(melt_SiO2)","q3(melt_presence)","q3(peridotite)","q3(porosity)","q3(residue_CaO)","q3(residue_FeO)","q3(residue_MgO)","q3(residue_SiO2)","q3(vtkOriginalPointIds)","std(X)","std(Y)","std(Z)","std(id)","std(melt_CaO)","std(melt_FeO)","std(melt_MgO)","std(melt_SiO2)","std(melt_presence)","std(peridotite)","std(porosity)","std(residue_CaO)","std(residue_FeO)","std(residue_MgO)","std(residue_SiO2)","std(vtkOriginalPointIds)","vtkValidPointMask"
11,0,500,0,0,5,0,0,0,0,1,0,0.20998,2.82,5.88,50.5,38.5,5,1000,0,0,10,0,0,0,0,1,0,0.20998,2.82,5.88,50.5,38.5,10,500,0,0,5,0,0,0,0,1,0,0.20998,2.82,5.88,50.5,38.5,5,0,0,0,0,0,0,0,0,1,0,0.20998,2.82,5.88,50.5,38.5,0,200,0,0,2,0,0,0,0,1,0,0.20998,2.82,5.88,50.5,38.5,2,750,0,0,7.5,0,0,0,0,1,0,0.20998,2.82,5.88,50.5,38.5,7,331.66,0,0,3.3166,0,0,0,0,0,0,0,0,0,0,0,3.3166,1
9,1057.5,500,1130.6,0,5,0.70168,1.1636,7.8623,7.1142,1,0.21753,0.37926,2.0949,4.6773,42.377,31.143,4,900,1130.6,0,9,0.70168,1.1636,7.8623,7.1142,1,0.21753,0.37926,2.0949,4.6773,42.377,31.143,8,500,1130.6,0,5,0.70168,1.1636,7.8623,7.1142,1,0.21753,0.37926,2.0949,4.6773,42.377,31.143,4,100,1130.6,0,1,0.70168,1.1636,7.8623,7.1142,1,0.21753,0.37926,2.0949,4.6773,42.377,31.143,0,250,1130.6,0,2.5,0.70168,1.1636,7.8623,7.1142,1,0.21753,0.37926,2.0949,4.6773,42.377,31.143,1,700,1130.6,0,7,0.70168,1.1636,7.8623,7.1142,1,0.21753,0.37926,2.0949,4.6773,42.377,31.143,6,273.86,5.3828e-05,0,2.7386,0,0,2.1027e-07,1.5895e-07,0,0,9.9341e-09,0,2.3842e-07,2.0105e-06,0,2.7386,1
9,2183,500,2418,0,5,0.73869,1.2209,8.258,7.4673,1,0.21649,0.3749,2.0574,4.619,41.99,30.781,4,900,2418,0,9,0.73869,1.2209,8.258,7.4673,1,0.21649,0.3749,2.0574,4.619,41.99,30.781,8,500,2418,0,5,0.73869,1.2209,8.258,7.4673,1,0.21649,0.3749,2.0574,4.619,41.99,30.781,4,100,2418,0,1,0.73869,1.2209,8.258,7.4673,1,0.21649,0.3749,2.0574,4.619,41.99,30.781,0,250,2418,0,2.5,0.73869,1.2209,8.258,7.4673,1,0.21649,0.3749,2.0574,4.619,41.99,30.781,1,700,2418,0,7,0.73869,1.2209,8.258,7.4673,1,0.21649,0.3749,2.0574,4.619,41.99,30.781,6,273.86,0.00054592,0,2.7386,0,0,0,1.5895e-07,0,0,1.5707e-08,0,0,0,1.0053e-06,2.7386,1
9,3121.8,500,3505.7,0,5,0.74057,1.2245,8.2772,7.4864,1,0.21908,0.37383,2.0611,4.6256,42.01,30.825,4,900,3505.7,0,9,0.74057,1.2245,8.2772,7.4864,1,0.21908,0.37383,2.0611,4.6256,42.01,30.825,8,500,3505.7,0,5,0.74057,1.2245,8.2772,7.4864,1,0.21908,0.37383,2.0611,4.6256,42.01,30.825,4,100,3505.7,0,1,0.74057,1.2245,8.2772,7.4864,1,0.21908,0.37383,2.0611,4.6256,42.01,30.825,0,250,3505.7,0,2.5,0.74057,1.2245,8.2772,7.4864,1,0.21908,0.37383,2.0611,4.6256,42.01,30.825,1,700,3505.7,0,7,0.74057,1.2245,8.2772,7.4864,1,0.21908,0.37383,2.0611,4.6256,42.01,30.825,6,273.86,0.0014101,0,2.7386,5.5311e-08,1.0324e-07,5.0263e-07,6.3578e-07,0,7.8536e-09,1.5707e-08,0,0,0,0,2.7386,1
9,4060.2,500,4599.9,0,5,0.74143,1.2241,8.2653,7.4852,1,0.22189,0.37293,2.0659,4.6368,42.096,30.897,4,900,4599.9,0,9,0.74143,1.2241,8.2653,7.4852,1,0.22189,0.37293,2.0659,4.6368,42.096,30.897,8,500,4599.9,0,5,0.74143,1.2241,8.2653,7.4852,1,0.22189,0.37293,2.0659,4.6368,42.096,30.897,4,100,4599.9,0,1,0.74143,1.2241,8.2653,7.4852,1,0.22189,0.37293,2.0659,4.6368,42.096,30.897,0,250,4599.9,0,2.5,0.74143,1.2241,8.2653,7.4852,1,0.22189,0.37293,2.0659,4.6368,42.096,30.897,1,700,4599.9,0,7,0.74143,1.2241,8.2653,7.4852,1,0.22189,0.37293,2.0659,4.6368,42.096,30.897,6,273.86,0.00076341,0,2.7386,0,3.9736e-08,0,0,0,0,1.5707e-08,0,0,0,0,2.7386,1
9,5185.6,500,5923.3,0,5,0.74321,1.2249,8.2437,7.4806,1,0.22518,0.37203,2.069,4.6447,42.193,30.957,4,900,5923.3,0,9,0.74321,1.2249,8.2437,7.4806,1,0.22518,0.37203,2.069,4.6447,42.193,30.957,8,500,5923.3,0,5,0.74321,1.2249,8.2437,7.4806,1,0.22518,0.37203,2.069,4.6447,42.193,30.957,4,100,5923.3,0,1,0.74321,1.2249,8.2437,7.4806,1,0.22518,0.37203,2.069,4.6447,42.193,30.957,0,250,5923.3,0,2.5,0.74321,1.2249,8.2437,7.4806,1,0.22518,0.37203,2.069,4.6447,42.193,30.957,1,700,5923.3,0,7,0.74321,1.2249,8.2437,7.4806,1,0.22518,0.37203,2.069,4.6447,42.193,30.957,6,273.86,0.00078901,0,2.7386,8.4294e-08,1.1921e-07,8.8497e-07,8.5963e-07,0,0,4.6595e-08,7.9473e-08,2.3842e-07,1.9073e-06,1.0053e-06,2.7386,1
9,6123,500,7035.1,0,5,0.74297,1.2266,8.2274,7.4725,1,0.22793,0.37144,2.0706,4.6461,42.235,30.984,4,900,7035.1,0,9,0.74297,1.2266,8.2274,7.4725,1,0.22793,0.37144,2.0706,4.6461,42.235,30.984,8,500,7035.1,0,5,0.74297,1.2266,8.2274,7.4725,1,0.22793,0.37144,2.0706,4.6461,42.235,30.984,4,100,7035.1,0,1,0.74297,1.2266,8.2274,7.4725,1,0.22793,0.37144,2.0706,4.6461,42.235,30.984,0,250,7035.1,0,2.5,0.74297,1.2266,8.2274,7.4725,1,0.22793,0.37144,2.0706,4.6461,42.235,30.984,1,700,7035.1,0,7,0.74297,1.2266,8.2274,7.4725,1,0.22793,0.37144,2.0706,4.6461,42.235,30.984,6,273.86,0.00070946,0,2.7386,5.9605e-08,1.1062e-07,5.0263e-07,6.7435e-07,0,6.5708e-09,2.4835e-08,1.1921e-07,0,0,9.5367e-07,2.7386,1
9,7059.9,500,8154.4,0,5,0.74614,1.2258,8.2026,7.4711,1,0.23069,0.37096,2.0693,4.6496,42.281,31.001,4,900,8154.4,0,9,0.74614,1.2258,8.2026,7.4711,1,0.23069,0.37096,2.0693,4.6496,42.281,31.001,8,500,8154.4,0,5,0.74614,1.2258,8.2026,7.4711,1,0.23069,0.37096,2.0693,4.6496,42.281,31.001,4,100,8154.4,0,1,0.74614,1.2258,8.2026,7.4711,1,0.23069,0.37096,2.0693,4.6496,42.281,31.001,0,250,8154.4,0,2.5,0.74614,1.2258,8.2026,7.4711,1,0.23069,0.37096,2.0693,4.6496,42.281,31.001,1,700,8154.4,0,7,0.74614,1.2258,8.2026,7.4711,1,0.23069,0.37096,2.0693,4.6496,42.281,31.001,6,273.86,0.00097995,0,2.7386,0,5.9605e-08,5.0263e-07,2.3842e-07,0,0,0,0,0,0,0,2.7386,1
9,8183.5,500,9507.1,0,5,0.74643,1.2276,8.1866,7.4653,1,0.23406,0.37051,2.07,4.6497,42.314,31.02,4,900,9507.1,0,9,0.74643,1.2276,8.1866,7.4653,1,0.23406,0.37051,2.07,4.6497,42.314,31.02,8,500,9507.1,0,5,0.74643,1.2276,8.1866,7.4653,1,0.23406,0.37051,2.07,4.6497,42.314,31.02,4,100,9507.1,0,1,0.74643,1.2276,8.1866,7.4653,1,0.23406,0.37051,2.07,4.6497,42.314,31.02,0,250,9507.1,0,2.5,0.74643,1.2276,8.1866,7.4653,1,0.23406,0.37051,2.07,4.6497,42.314,31.02,1,700,9507.1,0,7,0.74643,1.2276,8.1866,7.4653,1,0.23406,0.37051,2.07,4.6497,42.314,31.02,6,273.86,0.00094905,0,2.7386,0,5.9605e-08,0,2.5132e-07,0,0,0,1.2566e-07,1.5895e-07,0,1.0053e-06,2.7386,1
9,9119.2,500,10642,0,5,0.74777,1.2275,8.1724,7.4635,1,0.23689,0.37025,2.0689,4.6508,42.339,31.029,4,900,10642,0,9,0.74777,1.2275,8.1724,7.4635,1,0.23689,0.37025,2.0689,4.6508,42.339,31.029,8,500,10642,0,5,0.74777,1.2275,8.1724,7.4635,1,0.23689,0.37025,2.0689,4.6508,42.339,31.029,4,100,10642,0,1,0.74777,1.2275,8.1724,7.4635,1,0.23689,0.37025,2.0689,4.6508,42.339,31.029,0,250,10642,0,2.5,0.74777,1.2275,8.1724,7.4635,1,0.23689,0.37025,2.0689,4.6508,42.339,31.029,1,700,10642,0,7,0.74777,1.2275,8.1724,7.4635,1,0.23689,0.37025,2.0689,4.6508,42.339,31.029,6,273.86,0.0013021,0,2.7386,3.5818e-08,6.2829e-08,4.7684e-07,0,0,6.5708e-09,1.5707e-08,1.1921e-07,0,0,0,2.7386,1
9,10054,500,11785,0,5,0.75006,1.2283,8.1543,7.4636,1,0.23974,0.37009,2.0668,4.6504,42.357,31.031,4,900,11785,0,9,0.75006,1.2283,8.1543,7.4636,1,0.23974,0.37009,2.0668,4.6504,42.357,31.031,8,500,11785,0,5,0.75006,1.2283,8.1543,7.4636,1,0.23974,0.37009,2.0668,4.6504,42.357,31.031,4,100,11785,0,1,0.75006,1.2283,8.1543,7.4636,1,0.23974,0.37009,2.0668,4.6504,42.357,31.031,0,250,11785,0,2.5,0.75006,1.2283,8.1543,7.4636,1,0.23974,0.37009,2.0668,4.6504,42.357,31.031,1,700,11785,0,7,0.75006,1.2283,8.1543,7.4636,1,0.23974,0.37009,2.0668,4.6504,42.357,31.031,6,273.86,0.0018911,0,2.7386,5.1619e-08,6.2829e-08,5.0263e-07,4.4249e-07,0,0,1.5707e-08,1.2566e-07,0,2.0105e-06,0,2.7386,1
9,11176,500,13165,0,5,0.75065,1.2288,8.1442,7.461,1,0.24317,0.37004,2.0651,4.6486,42.361,31.025,4,900,13165,0,9,0.75065,1.2288,8.1442,7.461,1,0.24317,0.37004,2.0651,4.6486,42.361,31.025,8,500,13165,0,5,0.75065,1.2288,8.1442,7.461,1,0.24317,0.37004,2.0651,4.6486,42.361,31.025,4,100,13165,0,1,0.75065,1.2288,8.1442,7.461,1,0.24317,0.37004,2.0651,4.6486,42.361,31.025,0,250,13165,0,2.5,0.75065,1.2288,8.1442,7.461,1,0.24317,0.37004,2.0651,4.6486,42.361,31.025,1,700,13165,0,7,0.75065,1.2288,8.1442,7.461,1,0.24317,0.37004,2.0651,4.6486,42.361,31.025,6,273.86,0.0023417,0,2.7386,4.9671e-08,6.2829e-08,5.0263e-07,4.4249e-07,0,6.5708e-09,2.581e-08,0,0,0,9.5367e-07,2.7386,1
9,12110,500,14323,0,5,0.7553,1.2315,8.1193,7.4674,1,0.24604,0.37009,2.0597,4.6447,42.383,31.013,4,900,14323,0,9,0.7553,1.2315,8.1193,7.4674,1,0.24604,0.37009,2.0597,4.6447,42.383,31.013,8,500,14323,0,5,0.7553,1.2315,8.1193,7.4674,1,0.24604,0.37009,2.0597,4.6447,42.383,31.013,4,100,14323,0,1,0.7553,1.2315,8.1193,7.4674,1,0.24604,0.37009,2.0597,4.6447,42.383,31.013,0,250,14323,0,2.5,0.7553,1.2315,8.1193,7.4674,1,0.24604,0.37009,2.0597,4.6447,42.383,31.013,1,700,14323,0,7,0.7553,1.2315,8.1193,7.4674,1,0.24604,0.37009,2.0597,4.6447,42.383,31.013,6,273.86,0.002078,0,2.7386,4.9671e-08,6.2829e-08,0,3.9736e-07,0,0,1.5707e-08,1.1921e-07,2.5132e-07,0,0,2.7386,1
9,13044,500,15488,0,5,0.7555,1.2316,8.1194,7.4682,1,0.24892,0.37023,2.0586,4.6434,42.383,31.008,4,900,15488,0,9,0.75551,1.2316,8.1194,7.4682,1,0.24892,0.37023,2.0586,4.6434,42.383,31.008,8,500,15488,0,5,0.7555,1.2316,8.1194,7.4682,1,0.24892,0.37023,2.0586,4.6434,42.383,31.008,4,100,15488,0,1,0.7555,1.2316,8.1194,7.4682,1,0.24892,0.37023,2.0586,4.6434,42.383,31.008,0,250,15488,0,2.5,0.7555,1.2316,8.1194,7.4682,1,0.24892,0.37023,2.0586,4.6434,42.383,31.008,1,700,15488,0,7,0.75551,1.2316,8.1194,7.4682,1,0.24892,0.37023,2.0586,4.6434,42.383,31.008,6,273.86,0.0023417,0,2.7386,6.0427e-08,6.2829e-08,5.0263e-07,4.4249e-07,0,4.9671e-09,1.5707e-08,0,2.5132e-07,0,0,2.7386,1
9,14163,500,16894,0,5,0.75633,1.2348,8.1181,7.4723,1,0.25238,0.37052,2.0565,4.6399,42.384,30.999,4,900,16894,0,9,0.75633,1.2348,8.1181,7.4723,1,0.25238,0.37052,2.0565,4.6399,42.384,30.999,8,500,16894,0,5,0.75633,1.2348,8.1181,7.4723,1,0.25238,0.37052,2.0565,4.6399,42.384,30.999,4,100,16894,0,1,0.75633,1.2348,8.1181,7.4723,1,0.25238,0.37052,2.0565,4.6399,42.384,30.999,0,250,16894,0,2.5,0.75633,1.2348,8.1181,7.4723,1,0.25238,0.37052,2.0565,4.6399,42.384,30.999,1,700,16894,0,7,0.75633,1.2348,8.1181,7.4723,1,0.25238,0.37052,2.0565,4.6399,42.384,30.999,6,273.86,0.0024791,0,2.7386,3.1414e-08,6.2829e-08,5.0263e-07,3.9736e-07,0,0,1.5707e-08,0,0,0,0,2.7386,1
9,15095,500,18072,0,5,0.76143,1.2361,8.1028,7.4846,1,0.25527,0.37084,2.0521,4.6385,42.396,30.988,4,900,18072,0,9,0.76143,1.2361,8.1028,7.4846,1,0.25527,0.37084,2.0521,4.6385,42.396,30.988,8,500,18072,0,5,0.76143,1.2361,8.1028,7.4846,1,0.25527,0.37084,2.0521,4.6385,42.396,30.988,4,100,18072,0,1,0.76143,1.2361,8.1028,7.4846,1,0.25527,0.37084,2.0521,4.6385,42.396,30.988,0,250,18072,0,2.5,0.76143,1.2361,8.1028,7.4846,1,0.25527,0.37084,2.0521,4.6385,42.396,30.988,1,700,18072,0,7,0.76143,1.2361,8.1028,7.4846,1,0.25527,0.37084,2.0521,4.6385,42.396,30.988,6,273.86,0.0024791,0,2.7386,3.1414e-08,5.2566e-08,0,2.5132e-07,0,0,1.4901e-08,1.2566e-07,0,0,9.5367e-07,2.7386,1
9,16027,500,19257,0,5,0.76128,1.2404,8.1095,7.4894,1,0.25816,0.37125,2.0503,4.6326,42.392,30.976,4,900,19257,0,9,0.76128,1.2404,8.1095,7.4894,1,0.25816,0.37125,2.0503,4.6326,42.392,30.976,8,500,19257,0,5,0.76128,1.2404,8.1095,7.4894,1,0.25816,0.37125,2.0503,4.6326,42.392,30.976,4,100,19257,0,1,0.76128,1.2404,8.1095,7.4894,1,0.25816,0.37125,2.0503,4.6326,42.392,30.976,0,250,19257,0,2.5,0.76128,1.2404,8.1095,7.4894,1,0.25816,0.37125,2.0503,4.6326,42.392,30.976,1,700,19257,0,7,0.76128,1.2404,8.1095,7.4894,1,0.25816,0.37125,2.0503,4.6326,42.392,30.976,6,273.86,0.0016915,0,2.7386,2.9802e-08,0,0,2.3842e-07,0,0,1.5707e-08,0,0,0,0,2.7386,1
9,17144,500,20686,0,5,0.76923,1.2448,8.0871,7.5105,1,0.26163,0.37185,2.042,4.6283,42.413,30.953,4,900,20686,0,9,0.76923,1.2448,8.0871,7.5105,1,0.26163,0.37185,2.042,4.6283,42.413,30.953,8,500,20686,0,5,0.76923,1.2448,8.0871,7.5105,1,0.26163,0.37185,2.042,4.6283,42.413,30.953,4,100,20686,0,1,0.76923,1.2448,8.0871,7.5105,1,0.26163,0.37185,2.042,4.6283,42.413,30.953,0,250,20686,0,2.5,0.76923,1.2448,8.0871,7.5105,1,0.26163,0.37185,2.042,4.6283,42.413,30.953,1,700,20686,0,7,0.76923,1.2448,8.0871,7.5105,1,0.26163,0.37185,2.042,4.6283,42.413,30.953,6,273.86,0.0024791,0,2.7386,1.9868e-08,3.9736e-08,0,0,0,0,1.5707e-08,0,0,2.0105e-06,0,2.7386,1
9,18074,500,21883,0,5,0.7698,1.2462,8.099,7.5192,1,0.26451,0.37244,2.0397,4.6264,42.401,30.938,4,900,21883,0,9,0.7698,1.2462,8.099,7.5192,1,0.26451,0.37244,2.0397,4.6264,42.401,30.938,8,500,21883,0,5,0.7698,1.2462,8.099,7.5192,1,0.26451,0.37244,2.0397,4.6264,42.401,30.938,4,100,21883,0,1,0.7698,1.2462,8.099,7.5192,1,0.26451,0.37244,2.0397,4.6264,42.401,30.938,0,250,21883,0,2.5,0.7698,1.2462,8.099,7.5192,1,0.26451,0.37244,2.0397,4.6264,42.401,30.938,1,700,21883,0,7,0.7698,1.2462,8.099,7.5192,1,0.26451,0.37244,2.0397,4.6264,42.401,30.938,6,273.86,0.0023921,0,2.7386,4.2147e-08,6.2829e-08,5.0263e-07,5.2114e-07,0,0,2.6283e-08,1.1921e-07,2.3842e-07,0,0,2.7386,1
9,19004,500,23085,0,5,0.77143,1.2501,8.1068,7.5311,1,0.2674,0.37311,2.037,4.621,42.392,30.92,4,900,23085,0,9,0.77143,1.2501,8.1068,7.5311,1,0.2674,0.37311,2.037,4.621,42.392,30.92,8,500,23085,0,5,0.77143,1.2501,8.1068,7.5311,1,0.2674,0.37311,2.037,4.621,42.392,30.92,4,100,23085,0,1,0.77143,1.2501,8.1068,7.5311,1,0.2674,0.37311,2.037,4.621,42.392,30.92,0,250,23085,0,2.5,0.77143,1.2501,8.1068,7.5311,1,0.2674,0.37311,2.037,4.621,42.392,30.92,1,700,23085,0,7,0.77143,1.2501,8.1068,7.5311,1,0.2674,0.37311,2.037,4.621,42.392,30.92,6,273.86,0.0021837,0,2.7386,6.9539e-08,1.1062e-07,8.8497e-07,6.7435e-07,0,0,4.2147e-08,0,0,1.9073e-06,9.5367e-07,2.7386,1
9,20119,500,24534,0,5,0.77971,1.2559,8.0917,7.5576,1,0.27085,0.37402,2.028,4.6142,42.407,30.891,4,900,24534,0,9,0.77971,1.2559,8.0917,7.5576,1,0.27085,0.37402,2.028,4.6142,42.407,30.891,8,500,24534,0,5,0.77971,1.2559,8.0917,7.5576,1,0.27085,0.37402,2.028,4.6142,42.407,30.891,4,100,24534,0,1,0.77971,1.2559,8.0917,7.5576,1,0.27085,0.37402,2.028,4.6142,42.407,30.891,0,250,24534,0,2.5,0.77971,1.2559,8.0917,7.5576,1,0.27085,0.37402,2.028,4.6142,42.407,30.891,1,700,24534,0,7,0.77971,1.2559,8.0917,7.5576,1,0.27085,0.37402,2.028,4.6142,42.407,30.891,6,273.86,0.0024791,0,2.7386,8.6604e-08,1.5895e-07,9.5367e-07,8.5963e-07,0,0,5.041e-08,1.2566e-07,2.5132e-07,1.9073e-06,9.5367e-07,2.7386,1
9,21047,500,25746,0,5,0.78108,1.2601,8.1061,7.572,1,0.27372,0.37486,2.0255,4.6092,42.391,30.871,4,900,25746,0,9,0.78108,1.2601,8.1061,7.572,1,0.27372,0.37486,2.0255,4.6092,42.391,30.871,8,500,25746,0,5,0.78108,1.2601,8.1061,7.572,1,0.27372,0.37486,2.0255,4.6092,42.391,30.871,4,100,25746,0,1,0.78108,1.2601,8.1061,7.572,1,0.27372,0.37486,2.0255,4.6092,42.391,30.871,0,250,25746,0,2.5,0.78108,1.2601,8.1061,7.572,1,0.27372,0.37486,2.0255,4.6092,42.391,30.871,1,700,25746,0,7,0.78108,1.2601,8.1061,7.572,1,0.27372,0.37486,2.0255,4.6092,42.391,30.871,6,273.86,0.0021346,0,2.7386,8.6604e-08,1.6859e-07,1.0423e-06,9.2339e-07,0,1.5707e-08,4.6595e-08,1.2566e-07,0,2.0105e-06,9.5367e-07,2.7386,1
9,22160,500,27207,0,5,0.78372,1.2638,8.1236,7.5924,1,0.27716,0.37597,2.0211,4.6036,42.374,30.843,4,900,27207,0,9,0.78372,1.2638,8.1236,7.5924,1,0.27716,0.37597,2.0211,4.6036,42.374,30.843,8,500,27207,0,5,0.78372,1.2638,8.1236,7.5924,1,0.27716,0.37597,2.0211,4.6036,42.374,30.843,4,100,27207,0,1,0.78372,1.2638,8.1236,7.5924,1,0.27716,0.37597,2.0211,4.6036,42.374,30.843,0,250,27207,0,2.5,0.78372,1.2638,8.1236,7.5924,1,0.27716,0.37597,2.0211,4.6036,42.374,30.843,1,700,27207,0,7,0.78372,1.2638,8.1236,7.5924,1,0.27716,0.37597,2.0211,4.6036,42.374,30.843,6,273.86,0.0023474,0,2.7386,6.9539e-08,1.1062e-07,8.8497e-07,6.7435e-07,0,0,3.4769e-08,1.0513e-07,1.5895e-07,0,8.4106e-07,2.7386,1
